,author,date,stars,review_body
0,"data-hovercard-id=""6X2LpytOOFKN21lDLCmkPw"">Bella C.","
        6/4/2016
    ",1.0,This review has been removed for violating our Terms of Service
1,"data-hovercard-id=""6X2LpytOOFKN21lDLCmkPw"">Bella C.","
        5/30/2016
    ",1.0,This review has been removed for violating our Terms of Service
2,"data-hovercard-id=""ZPP6RqeqUF7a-DF7u7ycJw"">Lemon T.","
        11/9/2015
    ",1.0,This review has been removed for violating our Terms of Service
3,"data-hovercard-id=""3GJlz2aAfe9nF6IWz-iEYg"">Alex L.","
        11/8/2015
    ",1.0,This review has been removed for violating our Terms of Service
4,"data-hovercard-id=""zT546Ie-8llJhW2BazfDtg"">Andrea R.","
        11/6/2015
    ",1.0,This review has been removed for violating our Terms of Service
5,"data-hovercard-id=""47u_vSO99daeKLFLf6I6VQ"">Nina B.","
        11/5/2015
    ",1.0,This review has been removed for violating our Terms of Service
6,"data-hovercard-id=""Yp8L5_paBztA7Mjx52sIKA"">Griselda R.","
        11/5/2015
    ",1.0,This review has been removed for violating our Terms of Service
7,"data-hovercard-id=""e9GVsuAhWG0M4wFtj9dCGg"">Thao T.","
        9/1/2014
    ",1.0,This review has been removed for violating our Terms of Service
8,"data-hovercard-id=""U5XF-4nxobr_frJw-gdhNA"">Catherine C.","
        4/3/2012
    ",1.0,This review has been removed for violating our Terms of Service
9,"data-hovercard-id=""Cd1flZUdCzTpKQpB-kE4Jg"">Carter L.","
        8/24/2017
    ",3.0,This review has been removed for violating our Terms of Service
10,"data-hovercard-id=""IPbvDk7Jc9Ocp29pd6A9nQ"">Gerald L.","
        6/15/2014
    ",2.0,Had my Father's Day brunch and waited for 1 and half hour to be seated. The food was pretty disappointed. I think this place is overrated. Not the best I have ever tried.
11,"data-hovercard-id=""f3Lad7zNsPnvcyYWg3Tkkw"">Krishna D.","
        4/10/2014
    ",2.0,Overrated!
12,"data-hovercard-id=""b5ivKffoYO2_gmc0MPnozA"">Nica L.","
        11/15/2010
    ",2.0,This place is good. Except the one time I got glass in my eggs.
13,"data-hovercard-id=""QXBcpOROr3SdhaCiTztOkw"">Mirabel L.","
        12/20/2009
    ",2.0,"The food is actually pretty good, but the services mediocre at best. <br/>There is always a wait"
14,"data-hovercard-id=""aS1UHHJ4hV-q2FCAOabswg"">Rachel C.","
        11/11/2009
    ",2.0,"The food is super yummy, but they are not that nice or accomadating. One of my dearest friends was in town visiting. She has food allergies and asked if she could have sauteed or steemed veggies they not only said no, but they were rude when they said no. It was as if this request for veggies was a personal insult to them or their menu. I haven't gone back since"
15,"data-hovercard-id=""lFviuaiGd-gJPUtFSlmHrQ"">Emily B.","
        10/17/2008
    ",2.0,"I have been to zazie's about five times in the last three years and every time I go I hope that the service is better than the last. Now don't get me wrong, the food is great, but the service is lousy. I always order coffee and I am never offered a refill, the wait staff drops the bill without ever checking back or asking if I need anything else, my water goes empty, the list goes on. I hope this gets better because I really want to like this place."
16,"data-hovercard-id=""tYZGtkKuvtJG4_FhwFDm7Q"">john y.","
        6/3/2008
    ",2.0,"It's hard to see what differentiates this place from so many others. During our visit, the service was underwhelming; despite the unfailing politeness with which everybody in my party treated the waitress, she had a major chip on her shoulder.  She brought the entrees to the table at widely spaced intervals, she barked at us when we took 2 more seconds than necessary to enunciate our orders, and in general she towered over the table looking down on us as if we were subhuman obstacles in her path to greatness.<br/><br/>As for the food, it's decent but nothing to write home about; just the standard fare available at any brunch place, what makes it difficult to understand why one would wait for so long to get a table (unless the patio is great; we ate inside so I can't tell.) Their $1/person ""health ordinance fee"" (?) reminds me of the made-up charges in my cellphone bill."
17,"data-hovercard-id=""2OiheC6jQveQ-A1BD1LjEw"">Thomas R.","
        10/18/2018
    ",3.0,"My partner and I went here and were really impressed with the food. I have no complaints about the food, but the line is just too long. I recommend coming to Zazie's for dinner instead of brunch. All in all the food is the star of the show. I highly recommend this restaurant."
18,"data-hovercard-id=""MGM7Bux46-Xq2AOWTCEM-A"">Vera D.","
        10/9/2018
    ",3.0,My friend and I went here and were really impressed with the food. Their portion sizes are huge and the prices are fair for what you get. <br/>The only downside is the service.  We had to ask for a plate and water.
19,"data-hovercard-id=""pPZOZfC8ZGFUzoVY2CDYJQ"">Pat M.","
        5/9/2018
    ",3.0,"This is my go-to restaurant when I take my brunch. I have no complaints about the food but the line is just too long. :( I wait anyways when I have a lot of time. But, whenever I am busy, I just go to another place all though the food is not that yummy. <br/><br/>I hope that they put up another branch. I love eating here but I can't wait that long on the weekdays. That's why I am so excited when weekend comes. I always visit Zazie."
30,"data-hovercard-id=""w9Y3bkrmxc9gLq9N5zBPEQ"">Jessica H.","
        2/17/2018
    ",3.0,Had my Father's Day brunch and waited for 1 and half hour to be seated. The food was pretty disappointed. I think this place is overrated. Not the best I have ever tried.
31,"data-hovercard-id=""-Pnk1pMvA1KI5YZj1mCcpg"">Katya M.","
        2/9/2018
    ",3.0,Overrated!
32,"data-hovercard-id=""HJiFseeLs8R3VrrELSGVsQ"">Legend R.","
        11/24/2017
    ",3.0,This place is good. Except the one time I got glass in my eggs.
33,"data-hovercard-id=""TXrK6M4kJ_pYzEaKeIeYfA"">Channing C.","
        11/11/2017
    ",3.0,"The food is actually pretty good, but the services mediocre at best. <br/>There is always a wait"
34,"data-hovercard-id=""u67iO3BupFnWjOnlVp-iyg"">Johanna H.","
        10/28/2017
    ",3.0,"The food is super yummy, but they are not that nice or accomadating. One of my dearest friends was in town visiting. She has food allergies and asked if she could have sauteed or steemed veggies they not only said no, but they were rude when they said no. It was as if this request for veggies was a personal insult to them or their menu. I haven't gone back since"
35,"data-hovercard-id=""D4NMkMB6OxZWJPzYnR7CtA"">Vincent W.","
        9/27/2017
    ",3.0,"I have been to zazie's about five times in the last three years and every time I go I hope that the service is better than the last. Now don't get me wrong, the food is great, but the service is lousy. I always order coffee and I am never offered a refill, the wait staff drops the bill without ever checking back or asking if I need anything else, my water goes empty, the list goes on. I hope this gets better because I really want to like this place."
36,"data-hovercard-id=""F8JHY5ZnpLdoSUyUaIc4Lg"">Crosby E.","
        9/16/2017
    ",3.0,"It's hard to see what differentiates this place from so many others. During our visit, the service was underwhelming; despite the unfailing politeness with which everybody in my party treated the waitress, she had a major chip on her shoulder.  She brought the entrees to the table at widely spaced intervals, she barked at us when we took 2 more seconds than necessary to enunciate our orders, and in general she towered over the table looking down on us as if we were subhuman obstacles in her path to greatness.<br/><br/>As for the food, it's decent but nothing to write home about; just the standard fare available at any brunch place, what makes it difficult to understand why one would wait for so long to get a table (unless the patio is great; we ate inside so I can't tell.) Their $1/person ""health ordinance fee"" (?) reminds me of the made-up charges in my cellphone bill."
37,"data-hovercard-id=""CNHQkv-U7wVDAfIrMO7Bxg"">Aniyah B.","
        1/16/2017
    ",3.0,"My partner and I went here and were really impressed with the food. I have no complaints about the food, but the line is just too long. I recommend coming to Zazie's for dinner instead of brunch. All in all the food is the star of the show. I highly recommend this restaurant."
38,"data-hovercard-id=""l9jxxnraB0uL8CdnIEm_OA"">Nick S.","
        11/15/2016
    ",3.0,My friend and I went here and were really impressed with the food. Their portion sizes are huge and the prices are fair for what you get. <br/>The only downside is the service.  We had to ask for a plate and water.
39,"data-hovercard-id=""gc23exlNj3cpAxWhl-P53A"">Aima M.","
        7/2/2016
    ",3.0,"This is my go-to restaurant when I take my brunch. I have no complaints about the food but the line is just too long. :( I wait anyways when I have a lot of time. But, whenever I am busy, I just go to another place all though the food is not that yummy. <br/><br/>I hope that they put up another branch. I love eating here but I can't wait that long on the weekdays. That's why I am so excited when weekend comes. I always visit Zazie."
50,"data-hovercard-id=""UGjzRmWIUqVSQ2sNo1gyOQ"">Jine N.","
        4/4/2016
    ",3.0,This was my first time to Zazie's for brunch. There is a good amount of seating inside and if the weather is good the back patio area is opened. All the hype is deserved. The croissants and morning bun are celestial; the frangipani croissant especially so. The coconut tarts are memorable with the lemon meringue cake another crowd pleaser. Coffee is served in cups or bowls and strong enough to resurrect the dead.  I would definitely return here and sample more of their menu and it seems to have many options. Remember to check into with the host to put your name on the list as there tends to be a line..
51,"data-hovercard-id=""CcJdVlbPSm9Kyk96JN-mxQ"">Thomas F.","
        1/5/2016
    ",3.0,"Went there for dinner and it was really busy, the food was so-so.  I don't need to go back."
52,"data-hovercard-id=""ZKFySk_kEIdKCOKwxy_iog"">Suwapan L.","
        12/18/2015
    ",3.0,Beautiful food and good service
53,"data-hovercard-id=""ypVFrmoOdcfu67aXYCdHDg"">Kimmie J.","
        9/2/2015
    ",3.0,"Good work, Zazie. The food is pretty good, but not sure if it was worth the long wait. It could have been that we got there at just the wrong time. <br/><br/>We waited a good twenty minutes for our food after ordering, and our server was MIA for most of the meal. Maybe there was some kitchen catastrophe we weren't aware of. Outdoor seating area is nice, if a little tight. <br/><br/>I'd go again, but will explore other options next time."
54,"data-hovercard-id=""LPhVXOO82xLFabZjX8TixA"">Christian K.","
        4/18/2015
    ",3.0,"Peculiarly they ran out of soy milk at midday today.  This isn't one corner of the universe I was prepared for that.<br/><br/>I was then offered almond milk instead, but even more peculiarly I am one of the 13 people outside this city who have tried it -- and hated it.  Now I'm not alleging anything here, but I did break the cardinal rule and order ""just a latté"" ... and my opinion on almond milk is easily discovered via social media, handily crafted into a Doctor Who meme.<br/><br/>I'm not saying anything underhand happened today, but is this all mere coincidence?  I did play Eric Cartman in a TV commercial for a long time.  And the level of grooming on the beards and ponytails and bespoke aprons was at a peak I had never encountered before.<br/><br/>The lemon curd thingy (my food-word brain not big) on the pancakes was good."
55,"data-hovercard-id=""H5Eeg8E297LqI81CKW3NXQ"">Anna F.","
        5/23/2014
    ",3.0,"My sister and I ate here for brunch last week. I had been wanting to try this place for awhile. We waited 30 minutes to be seated, the food was great and the service was good. I might be back to try there dinner."
56,"data-hovercard-id=""NEAUqiyDi2UQrHfLnPQRvA"">Shelby R.","
        11/14/2013
    ",3.0,"I came here wondering why this place is so packed every day. After the florentine and americano, I know it wasn't the food and it definitely wasn't the coffee. Breakfast was okay but nothing to write home about and value wasn't quite there. Coffee was embarrassing (I should have gone across the street or almost anywhere else).  That said, good ambiance, great service and fast if you don't count the wait for a table. Would not come back (at least not without my own coffee)"
57,"data-hovercard-id=""z3Shq00AWbc-N019oRZSZA"">Sulaiman B.","
        5/8/2013
    ",3.0,"I think this place was nice.. food was good. Overall, I think it was a pleasant experience."
58,"data-hovercard-id=""qH4uQQ9ZKrYEs_NlzbfvIg"">Sheila K.","
        11/26/2012
    ",3.0,"Weekend brunch is not worth the hour wait.  Why wait in line when there are so many other nice brunch spots near Cole Valley?  <br/><br/>I've come here for brunch and dinner several times.  The servers usually bring me a cold eggs benedict, never warm/hot for some reason.  The lattes are delicious, as are the pancakes.<br/><br/>I recommend coming to Zazie's for dinner instead of brunch.  The wait is shorter and the dinner menu is excellent."
59,"data-hovercard-id=""akFqMo81BY2h3pWvduTwIw"">Garland W.","
        3/21/2011
    ",3.0,"Ordered the French toast Tahiti, eggs benedict, and some sorta pancake with fried bananas ontop. Everything tasted pretty good except the pancake. It was super dense and mushy. I'm not sure if the pancakes were suppose to be that way because it was a certain pancake style or if it was undercooked. Either way, my friend and I didn't touch the pancake... kind of a waste. Despite that, food's pretty good. Nice ambiance. Give it a try."
70,"data-hovercard-id=""D7z2-FuY5zpil7KeCoExNg"">Andrew P.","
        7/28/2010
    ",3.0,"3 1/2 stars. Great brunch spot in Cole Valley, though i did have one less than stellar meal there."
71,"data-hovercard-id=""qWpzF007n3q2fhtmY2FtSA"">m l.","
        6/25/2009
    ",3.0,"new ownership has brought noticeable changes to this used-to-be<br/>great restaurant. <br/><br/>old timer customers WILL be disappointed.  <br/><br/>P.S.  We ate dinner (pork chop, which was about as dry and tough as an old shoe and NOTHING similar to what Zazie used to present).<br/><br/>Maybe they can keep the fabulous breakfast, brunch, i don't know, but i wouldn't count on it.  I don't think we'll try to find out.<br/><br/>What a shame!"
72,"data-hovercard-id=""zUoW1MaV9w9ZxcQKHOr5cA"">Peter L.","
        5/15/2009
    ",3.0,more hype
73,"data-hovercard-id=""WmeVaOuzE7euuSty6lglcA"">Adrienne G.","
        2/7/2008
    ",3.0,Good brunch. Good Croque Monsiuer.
74,"data-hovercard-id=""UrHuVmvCxSX7stAEif3V8Q"">aynne v.","
        4/18/2007
    ",3.0,not bad
75,"data-hovercard-id=""-05_uARKy4_gdPbbXYnsIg"">steve r.","
        7/28/2006
    ",3.0,"Good neighborhhod hangout.  I love to relax here for a mellow night in the neighborhood.  Don't know if I'd make the trip if I didn't live here.  I think they have a solid lunch and dinner business, but don't get why people like their brunch/breakfast (other than the patio) so much.  Personally, I leave the neighborhood and drive to Ella's."
76,"data-hovercard-id=""h5LSxvXlMUfOUEGBiM52QQ"">typtrich a.","
        4/19/2006
    ",3.0,"fake yuppie breakfast (see the lines? don't be fooled), fair dinner pre-fixes. Maybe if they didn't offer the same two dishes (salmon and some kind of poisson soup, which is apparently supposed to fill you for dinner) as pre-fix option, I'd be able to eat here more often. Seriously, it's not been changed for over a year!"
77,"data-hovercard-id=""PRq1VX5hTx9WRyMSTf9roA"">Mindy L.","
        2/28/2019
    ",4.0,"This place was fantastic. I really felt I'm one of their family inside. You could easily go alone or with someone. The food came out fast and delicious. I am very impressed by how friendly the staffs were, and they were willing to help and suggest a good dish. The prices are reasonable as well."
78,"data-hovercard-id=""-_LmE6oEw9FbYHAnMafKSA"">Antony E.","
        7/8/2018
    ",4.0,Great place to eat and Enjoy a conversation with the person that you enjoy a conversation with
79,"data-hovercard-id=""-t7to0hWpIynHeM2cJbEUw"">Emily H.","
        6/11/2018
    ",4.0,"However, all of the items are a little more than average price. If a person were to order an appetizer,entree, side, and a drink... the costs to compensate definitely adds up. The first time I came here, I fell in love with the ambience, decor, and food. The home fries were my favorite thing here! This time around, I took my boyfriend to show him what SF brunch is all about."
90,"data-hovercard-id=""8FBYBdUAPxq777a5ac0eFQ"">Ruth A.","
        4/18/2018
    ",4.0,"All in all the Food was the star of the show.<br/>We started with a few of the mojitos (wow, they have quite an extensive selection) and the seasonal cinnamon roll. The roll was fantastic, soft, moist and flavorful. The service was a little inattentive (probably didn't help that we were way in the front of the restaurant in the window/nook area."
91,"data-hovercard-id=""EruDnvA2H-Kp-ayNljgC5g"">Robert C.","
        4/18/2018
    ",4.0,this place was cool Elvis cool. Welp
92,"data-hovercard-id=""1sF6eRMtbPOwJMOkVsClVQ"">Jan H.","
        4/10/2018
    ",4.0,"The ambiance is great and the service is excellent. Our waitress, Megan was so welcoming and friendly. She made great suggestions for our dinner choices. We had the appetizer trio which is a great way to try several times without large portions.<br/>The crab was fresh. The hollandaise sauce was decadent. And the eggs perfectly cooked. The only negative was how expensive it was."
93,"data-hovercard-id=""Nu_ggoBdNi-kYlq2uFCHpQ"">Lynn F.","
        4/9/2018
    ",4.0,"Although a long wait to be seated, the food was worth it. Luckily there is a Pete's coffee next to Zazie to help with the morning caffeine need while waiting. Seating is cramped but that is San Francisco real estate for you . Our waiter was great and we ordered eggs Benedict with the crab and one of the daily special omelets. The potatoes that came with the eggs were awesome with roasted shallots and there was a good portion of lump crab meat. The only minor thing is that I would have liked for it to arrive hotter but it didn't take away from the awesome taste. Would definitely go again!"
94,"data-hovercard-id=""THZP1XsI9fHTH3SDZNW4sA"">Sutton Z.","
        2/18/2018
    ",4.0,"A wonderful place with good food and good coffee. Keep in mind that in the morning all the seats are occupied, and the line lasts more than an hour and a half, I agree - it's too long."
95,"data-hovercard-id=""FL4B4IuR-dEwUfc5XJphNQ"">Sloane H.","
        12/22/2017
    ",4.0,"Potatoes were dope, although I think it's a dangerous game putting those huge bulbs of garlic in there with them. Service is so fantastic that I wish they accepted tips. Highly recommended!"
96,"data-hovercard-id=""_KPee9RfFJvQouG2XNju_A"">Zaire R.","
        11/24/2017
    ",4.0,Love to head here for brunch! Only downside is the waiting time because it's always crowded.
97,"data-hovercard-id=""FGZgrdc1xxFwVMqsq1lR0A"">Svyatoslav T.","
        8/22/2017
    ",4.0,ゝWe were seated in the back on a covered deck with heaters
98,"data-hovercard-id=""HljgPDGWo51-3F1D-iagVg"">Jocelyn M.","
        8/8/2017
    ",4.0,"Great atmospheric, good food, terrific service. Favorite Breakfast food at good prices."
99,"data-hovercard-id=""hFga_0kG7cz4WpK-bS5CRQ"">Tucker S.","
        7/30/2017
    ",4.0,"This area isn't great for good reasonably priced sit-down neighborhood joints, but Zazie fits the bill! They're apparently better known for brunch, but we've only been there for dinner. We've yet to have a bad dinner experience, so if the brunch is just as good or better, we'll have to check it out."
110,"data-hovercard-id=""0HKzoUNU44ob4lPUfQr-Tw"">Camila R.","
        6/30/2017
    ",4.0,"It seems like American brunch cafe rather than french from my experience. I ordered egg benedict with two eggs, and eggs were not runny (you can tell by how they look in the picture)."
111,"data-hovercard-id=""Td-WAEoqkXynkV7zN5pdtg"">Margaret M.","
        2/6/2017
    ",4.0,"Longtime fan of the brunch, but weekends are a mess to get in. Prefer the weekday breakfast/lunch or evening weeknight for dinner. Eggs benedict can't miss (especially when crab is in season). And the pancake flight is always a cheat treat. Big fan of the burger here for lunch. I always get the prie fixe for dinner - mussels, ravioli, and steak have never let me down. My favorite thing about Zazie's - make your own mimosas!!"
112,"data-hovercard-id=""92Mw7UKdvFPTpQP4GUN87w"">Jordan G.","
        1/6/2017
    ",4.0,"They cook pretty good food. Slot of it is a bit pricey for the taste, but not bad all around. The dessert is very good."
113,"data-hovercard-id=""lRXjJ9wqOmYQrEHm_vXSfQ"">Ashley C.","
        11/11/2016
    ",4.0,"My friend Kelly stopped by and we decided to go out for brunch. The patio seating area was beautiful. I ordered the Eggs Monaco. The eggs were poached perfectly. Kelly ordered the french toast, she said it was delicious. The service was great."
114,"data-hovercard-id=""jvBkfJz2wrXxiui0aq9z6Q"">Mj A.","
        10/20/2016
    ",4.0,"The food is good, but the lines are too long."
115,"data-hovercard-id=""kOrGjKw8hDmFPZkWCy2omw"">Megan K.","
        10/18/2016
    ",4.0,Always super fresh and always a good variety of produce from Greenhearts. Sometimes there's a happy little surprise that just makes your week. Really great bang for your buck too
116,"data-hovercard-id=""fuD9U7UefP7JaQV6HjYiYw"">Amy S.","
        10/17/2016
    ",4.0,"We came in for a quick bite and ended up staying almost two hours.  Rob is a top shelf baker with amazing, innovative twists - the creme brûlée with cabernet filling, almond flour, perfect.  Rob and Danny could not have been more fun and accommodating, we will be back early and often!"
117,"data-hovercard-id=""4NHwtC0VNBMDP_YGo4y31A"">Louis W.","
        10/5/2016
    ",4.0,"Definitely a nice cozy place to have a bite to eat and chat on a Sunday morning. Luckily, I didn't go on a Sunday in order to dodge those long waits and lines. I went on a typical Wednesday morning around brunch time parking around the neighborhood was kind of difficult. It will take a couple of rounds around the block, while dodging a the bustling customers either looking for other brunch places or making their way to the infamous Haight-Ashbury neighborhood. I got an egg scramble with ham, cheese, and avocados. For me, something simple and plain can be one of the hardest things to perfect, and the food was decent. There was nothing special about the food, but it wasn't necessary. Simple and good company in a nice cozy place. The service was wonderful and the server did not let a minute fly by without refilling our cups of coffees or changing our empty bottles of water. Overall, it was a nice experience and don't have any complaints!"
